venue,team,abbrev,lat,long
Chase Field,Arizona Diamondbacks,AZ,33.44527778,-112.0669444
Turner Field,Atlanta Braves,ATL,33.73527778,-84.38944444
Oriole Park at Camden Yards,Baltimore Orioles,BAL,39.28388889,-76.62166667
Fenway Park,Boston Red Sox,BOS,42.34638889,-71.0975
Wrigley Field,Chicago Cubs,CHC,41.94833333,-87.65555556
U.S. Cellular Field,Chicago White Sox,CWS,41.83,-87.63388889
Great American Ball Park,Cincinnati Reds,CIN,39.0975,-84.50666667
Progressive Field,Cleveland Indians,CLE,41.49583333,-81.68527778
Coors Field,Colorado Rockies,COL,39.75611111,-104.9941667
Comerica Park,Detroit Tigers,DET,42.33916667,-83.04861111
Minute Maid Park,Houston Astros,HOU,29.75694444,-95.35555556
Kauffman Stadium,Kansas City Royals,KC,39.05138889,-94.48055556
Angel Stadium of Anaheim,Los Angeles Angels of Anaheim,LAA,33.80027778,-117.8827778
Dodger Stadium,Los Angeles Dodgers,LAD,34.07361111,-118.24
Marlins Park,Miami Marlins,MIA,25.77805556,-80.21972222
Miller Park,Milwaukee Brewers,MIL,43.02833333,-87.97111111
Target Field,Minnesota Twins,MIN,44.98166667,-93.27833333
Citi Field,New York Mets,NYM,40.75694444,-73.84583333
Yankee Stadium,New York Yankees,NYY,40.82916667,-73.92638889
O.co Coliseum,Oakland Athletics,OAK,37.75166667,-122.2005556
Citizens Bank Park,Philadelphia Phillies,PHI,39.90583333,-75.16638889
PNC Park,Pittsburgh Pirates,PIT,40.44694444,-80.00583333
Petco Park,San Diego Padres,SD,32.70729983,-117.1565998
Safeco Field,Seattle Mariners,SEA,47.59138889,-122.3325
AT&T Park,San Francisco Giants,SF,37.77833333,-122.3894444
Busch Stadium,St. Louis Cardinals,STL,38.6225,-90.19305556
Tropicana Field,Tampa Bay Rays,TB,27.76833333,-82.65333333
Rangers Ballpark in Arlington,Texas Rangers,TEX,32.75138889,-97.08277778
Rogers Centre,Toronto Blue Jays,TOR,43.64138889,-79.38916667
Nationals Park,Washington Nationals,WSH,38.87277778,-77.0075
