"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Mike Trout","Angels","57","259","203","62","12","1","17","49","44","49","50","4","6","2","",".307",".448",".634","1.082",".437","","181","1.3","0.0","","28.2","0.1","3.6","10155"
"Christian Yelich","Brewers","56","253","215","66","13","2","14","43","37","32","50","3","9","3","",".308",".401",".572",".973",".399","","145","1.2","0.6","","16.4","-2.0","2.2","11477"
"J.D. Martinez","Red Sox","58","250","220","67","14","1","15","40","46","26","57","1","1","0","",".303",".377",".583",".960",".393","","143","-1.0","-0.4","","12.8","-5.4","1.6","6184"
"Giancarlo Stanton","Yankees","33","145","126","34","6","0","12","24","28","16","43","2","1","0","",".273",".358",".607",".965",".392","","146","-0.1","0.7","","8.5","-0.9","1.2","4949"
"Kris Bryant","Cubs","57","258","216","61","14","1","12","41","35","33","54","6","2","1","",".284",".390",".529",".920",".385","","138","1.1","-0.4","","14.1","-1.1","2.1","15429"
"Cody Bellinger","Dodgers","54","232","199","56","10","1","15","35","41","30","47","1","4","2","",".283",".377",".569",".946",".384","","142","0.4","2.4","","13.2","-0.2","2.0","15998"
"Anthony Rizzo","Cubs","59","261","220","63","13","1","13","39","40","31","38","7","3","1","",".287",".390",".535",".924",".384","","137","-0.8","1.6","","12.1","-2.9","1.7","3473"
"Mookie Betts","Red Sox","58","268","228","68","16","2","11","46","35","33","37","2","8","2","",".298",".390",".531",".921",".383","","137","1.8","4.9","","14.3","2.4","2.5","13611"
"Nolan Arenado","Rockies","59","259","230","68","15","1","15","39","45","25","41","2","1","1","",".295",".365",".571",".937",".382","","121","0.2","2.3","","7.4","3.2","1.8","9777"
"Freddie Freeman","Braves","57","254","219","64","15","1","12","38","40","30","51","3","2","1","",".294",".383",".542",".926",".382","","135","0.2","1.4","","11.8","-3.0","1.7","5361"
"Juan Soto","Nationals","59","254","214","62","11","2","11","36","39","37","51","1","3","1","",".290",".394",".520",".914",".382","","134","0.0","-2.0","","11.5","-4.7","1.5","20123"
"Alex Bregman","Astros","57","255","215","60","14","1","12","40","38","34","34","3","3","1","",".280",".384",".522",".905",".379","","143","0.2","-0.9","","14.1","0.1","2.3","17678"
"Bryce Harper","Phillies","58","258","211","55","12","0","15","39","38","43","64","2","4","2","",".260",".387",".524",".911",".376","","133","-0.1","0.1","","11.2","-2.5","1.7","11579"
"Anthony Rendon","Nationals","58","255","221","65","16","1","11","36","38","28","38","3","2","1","",".296",".380",".519",".900",".375","","129","0.5","2.1","","10.5","3.0","2.1","12861"
"Aaron Judge","Yankees","52","232","191","49","8","0","14","38","35","36","71","2","3","1","",".256",".377",".523",".899",".374","","134","0.2","2.4","","10.2","0.0","1.8","15640"
"Nelson Cruz","Twins","56","246","215","60","11","0","15","37","42","25","59","4","1","0","",".278",".360",".542",".903",".373","","133","-1.2","0.0","","9.1","-5.8","1.2","2434"
"Rhys Hoskins","Phillies","58","254","212","53","11","1","14","36","39","36","59","3","2","1","",".249",".364",".511",".875",".366","","126","0.2","-0.1","","8.9","-4.6","1.2","16472"
"George Springer","Astros","50","229","196","54","10","1","12","37","30","26","47","3","3","1","",".274",".365",".506",".871",".366","","134","0.3","-0.8","","10.2","-2.2","1.6","12856"
"Josh Donaldson","Braves","50","219","184","47","10","0","11","32","32","30","51","2","2","1","",".259",".369",".500",".869",".365","","124","-0.1","0.8","","6.7","1.4","1.5","5038"
"Shohei Ohtani","Angels","52","224","198","55","10","1","12","32","36","22","58","2","5","2","",".279",".353",".525",".877",".365","","132","0.1","0.0","","9.3","-5.1","1.2","19755"
"Paul Goldschmidt","Cardinals","60","266","226","62","12","1","12","38","36","35","64","3","3","1","",".274",".376",".493",".868",".364","","126","0.6","0.9","","9.8","-3.5","1.5","9218"
"Joc Pederson","Dodgers","42","186","159","40","8","1","11","29","27","21","39","3","1","1","",".254",".348",".529",".877",".363","","128","0.3","0.7","","7.2","-1.0","1.2","11899"
"Charlie Blackmon","Rockies","56","257","230","67","11","3","11","40","32","19","48","4","4","1","",".293",".355",".518",".873",".363","","109","0.4","-1.8","","3.4","-4.3","0.7","7859"
"Carlos Santana","Indians","60","263","218","57","12","1","12","37","37","41","39","2","2","1","",".260",".379",".485",".864",".363","","124","-0.2","0.2","","7.8","-4.7","1.2","2396"
"Edwin Encarnacion","Yankees","52","226","193","48","7","0","15","34","39","28","50","2","1","0","",".248",".348",".526",".874",".363","","126","-1.0","-0.1","","6.6","-4.6","1.0","2151"
"Justin Turner","Dodgers","54","235","205","59","13","0","9","33","32","22","35","6","1","0","",".289",".372",".486",".857",".362","","127","-0.2","-0.6","","8.3","-0.1","1.5","5235"
"Ronald Acuna Jr.","Braves","56","255","225","64","11","1","12","39","33","23","60","3","10","4","",".286",".358",".507",".865",".362","","121","0.7","-0.9","","8.0","-1.2","1.5","18401"
"Trevor Story","Rockies","59","257","231","64","14","2","14","39","39","20","69","3","8","3","",".277",".340",".535",".875",".361","","108","0.7","0.2","","3.3","2.8","1.4","12564"
"Francisco Lindor","Indians","60","277","246","71","15","1","13","44","37","25","40","2","9","3","",".287",".356",".518",".873",".361","","123","0.5","3.9","","8.5","6.3","2.4","12916"
"Rafael Devers","Red Sox","53","228","206","60","14","1","10","33","36","18","44","1","4","2","",".293",".350",".523",".873",".360","","121","0.5","-0.8","","6.7","-0.1","1.4","17350"
"Joey Gallo","Rangers","54","227","189","43","8","1","16","33","37","33","80","2","3","1","",".228",".346",".529",".875",".360","","118","0.9","1.1","","6.3","-0.1","1.4","14128"
"Joey Votto","Reds","60","268","221","60","12","1","9","38","30","41","48","3","1","0","",".271",".390",".452",".843",".360","","120","-1.5","0.1","","5.5","-4.1","1.0","4314"
"Xander Bogaerts","Red Sox","58","252","222","64","15","1","9","35","37","25","45","2","3","1","",".290",".365",".489",".855",".359","","121","0.8","-0.8","","7.4","1.9","1.8","12161"
"Andrew McCutchen","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".366",".483",".849",".359","","121","0.0","0.0","","0.0","0.0","0.0","9847"
"Jose Ramirez","Indians","60","259","225","62","15","1","11","37","37","29","32","2","10","4","",".277",".362",".498",".860",".358","","121","1.6","1.3","","8.4","2.0","1.9","13510"
"Daniel Murphy","Rockies","49","209","190","57","13","1","8","28","31","15","29","1","1","1","",".301",".354",".503",".856",".357","","105","-0.2","-0.6","","1.0","-3.9","0.4","4316"
"Josh Bell","Pirates","60","258","224","62","13","1","11","33","37","30","50","1","1","1","",".276",".363",".492",".856",".357","","121","-0.9","-2.6","","6.4","-7.1","0.7","13145"
"Peter Alonso","Mets","58","255","223","56","11","1","16","37","39","24","64","5","1","0","",".252",".336",".522",".859",".356","","125","0.1","0.3","","8.5","-3.7","1.3","19251"
"Vladimir Guerrero Jr.","Blue Jays","51","227","202","59","12","0","9","32","30","20","35","2","1","1","",".292",".359",".488",".847",".356","","123","-0.3","-1.3","","6.5","-1.7","1.2","19611"
"Carlos Correa","Astros","44","190","166","45","10","1","9","27","29","21","41","1","1","0","",".273",".355",".495",".850",".356","","127","0.2","-0.7","","6.7","1.2","1.4","14162"
"Matt Chapman","Athletics","58","258","226","60","14","2","13","37","37","26","59","3","1","1","",".264",".343",".509",".853",".356","","125","0.6","3.0","","9.0","3.9","2.1","16505"
"Marcell Ozuna","Cardinals","51","218","198","56","10","1","11","29","35","18","43","1","2","1","",".285",".345",".510",".854",".355","","121","0.2","0.7","","6.1","-1.5","1.1","10324"
"Manny Machado","Padres","59","263","235","65","12","1","14","37","40","24","46","1","3","1","",".276",".344",".519",".863",".355","","121","-0.3","2.1","","7.1","3.6","1.9","11493"
"Yasmani Grandal","Brewers","46","194","164","40","8","1","10","27","28","27","46","1","1","0","",".247",".356",".484",".840",".353","","116","-1.0","0.1","","3.1","3.0","1.7","11368"
"Alex Dickerson","Giants","42","177","158","46","9","2","6","21","23","14","33","2","1","1","",".294",".359",".487",".846",".353","","120","-0.1","-0.9","","4.6","-2.1","0.8","12649"
"Yasiel Puig","Reds","55","230","206","56","11","1","12","31","36","19","48","2","7","3","",".272",".339",".511",".849",".353","","115","-0.2","0.4","","4.3","-1.9","1.0","14225"
"Yordan Alvarez","Astros","54","230","204","54","10","0","13","33","38","23","59","1","1","1","",".265",".341",".512",".853",".351","","124","0.1","0.0","","7.0","-5.2","1.0","19556"
"Jose Altuve","Astros","54","242","217","64","13","1","7","35","31","20","35","3","5","2","",".297",".361",".469",".830",".350","","123","0.0","-1.5","","7.3","-1.0","1.4","5417"
